#sat.data_x[0], sat.data_y[0], sat.data_z[0], sat.Vls_x, sat.Vls_y, sat.Vls_z
45.0389208488 26.7852967265 -42.585795313 370.345282161 -13.8642464349 -65.2291277062
52.0258552395 57.8280748706 -36.6243934307 337.399110957 -27.5383211313 -62.8512106006
44.8727056791 -103.468515127 -1.84288204396 377.603271609 54.5928890461 -87.9891381121
36.8124134919 273.832192388 -28.7574527913 314.07508994 -118.835477616 -60.6905394602
92.9899818226 -10.3777437727 201.705409716 269.120345791 4.18378331625 -149.291084185
175.019265436 -28.1237122779 -40.6147264361 204.344848114 9.815175585 -44.6691147548
107.309589523 -64.8088193249 -34.3639643388 159.991376871 15.8733242556 -32.8793931585
6.53162794248 70.2195835964 -74.6328583492 422.459064332 -39.343213614 -52.6523124357
-156.911933273 75.8479432851 -50.9358220426 550.764502007 -45.5332857803 -70.6404224058
7.20856215297 68.0810695268 -93.4849794963 203.001540013 -18.3460566304 -20.2432619147
-24.2795906341 106.664035059 -121.092514828 475.63895964 -64.6440545391 -28.7959668259
138.059183627 -19.2259833442 -104.72869199 321.18139954 9.92011600667 -32.9592952514
287.106322503 37.713253024 -135.040597502 365.315551439 -29.1010038566 -25.9007164347
59.3958780978 -21.6941280929 22.3549031703 242.64993095 7.50789907589 -66.0878662819
-374.533302876 27.3868270816 261.583127815 324.25168459 -7.82351864242 -122.891061612
-34.5356251933 110.726097482 3.94702119203 108.075317862 -15.0511966857 -23.4555035544
51.5594211038 117.601910542 12.5714717448 436.48376767 -72.4021478936 -111.543012312
-12.0272807138 61.4358251163 120.496547685 338.638062841 -26.9292461967 -126.722902076
-157.685936104 55.8588759713 -225.756797429 129.54893938 -7.88095880551 8.06316727676
16.4873014319 -56.3989920235 -114.075674907 236.443904258 17.9225139091 -17.3288334762
-111.419705086 -127.56836348 4.67510203981 124.481671016 18.2118754991 -24.7379689959
60.5725613855 -37.9129502782 55.7891098442 102.521612277 5.5530109239 -32.8666336266
49.9095674007 -41.56572626 80.1922430801 246.551068691 14.4212121878 -86.3206107846
-445.472130263 -56.4732481431 174.050775037 518.534841441 24.2812467713 -147.328959064
245.565188174 259.210550271 162.977739293 258.435413427 -130.08381769 -166.404254719
118.718968638 -69.2834193019 48.5990043034 131.755982089 14.2229398214 -44.5893154271
87.057292239 -56.9760871681 55.4908324687 182.652340042 15.4523629665 -60.7769480792
171.629612315 -54.6028947975 17.591139747 193.578765096 17.948499935 -61.2049527051

#Dist errDistplus errDistminus Vls errVlsplus errVlsminus
#727 +18  -17  -376.3 +2.2 -2.2 
#630 +15  -15                  
#723 +18  -24  -344.3 +1.7 -1.7 
#742 +21  -22  -391.5 +2.7 -2.7 
#783 +28  -28  -339.8 +1.8 -1.8 
#762 +25  -24  -307.2 +1.3 -1.3 
#600 +91  -23  -209.4 +2.5 -2.5  
#670 +24  -39  -164.1 +1.7 -1.7 
#763 +29  -106 -427.5 +3.5 -3.4 
#928 +40  -136 -557.1 +1.7 -1.7 
#760 +126 -154 -204.8 +4.9 -4.9 
#793 +23  -179 -480.6 +1.2 -1.2 
#626 +79  -35  -323.0 +1.4 -1.4 
#476 +44  -29  -367.3 +2.8 -2.8 
#727 +39  -25  -251.6 +1.8 -2.0 
#121 +40  -43  -346.0 +2.0 -2.0 
#821 +32  -148 -111.6 +1.6 -1.4 
#741 +42  -52  -456.2 +3.1 -3.6, 
#827 +23  -25  -362.5 +0.9 -0.9, 
#920 +32  -139 -129.8 +2.0 -2.0, 
#748 +31  -21  -237.7 +1.2 -1.2, 
#898 +28  -42  -128.2 +5.2 -5.2, 
#736 +23  -69  -107.8 +1.0 -1.0, 
#754 +218 -164 -261.6 +3.0 -2.8, 
#255 +42  -474 -539.6 +4.7 -4.5,  
#650 +150 -80  -326.2 +2.7 -2.7, 
#681 +32  -78  -139.8 +6.0 -6.6 
#712 +21  -19  -193.1 +0.8 -0.8  
#620 +19  -18  -203.8 +1.1 -1.1  
